"Step","timelm_attention - train/accuracy","timelm_attention - train/accuracy__MIN","timelm_attention - train/accuracy__MAX","roberta-large_attention - train/accuracy","roberta-large_attention - train/accuracy__MIN","roberta-large_attention - train/accuracy__MAX","roberta-base_attention - train/accuracy","roberta-base_attention - train/accuracy__MIN","roberta-base_attention - train/accuracy__MAX","deberta-large_attention - train/accuracy","deberta-large_attention - train/accuracy__MIN","deberta-large_attention - train/accuracy__MAX","bert_attention - train/accuracy","bert_attention - train/accuracy__MIN","bert_attention - train/accuracy__MAX","albert-xlarge_attention - train/accuracy","albert-xlarge_attention - train/accuracy__MIN","albert-xlarge_attention - train/accuracy__MAX","albert-large_attention - train/accuracy","albert-large_attention - train/accuracy__MIN","albert-large_attention - train/accuracy__MAX","albert-base_attention - train/accuracy","albert-base_attention - train/accuracy__MIN","albert-base_attention - train/accuracy__MAX"
"68","0.6875","0.6875","0.6875","0.8125","0.8125","0.8125","0.75","0.75","0.75","0.625","0.625","0.625","0.75","0.75","0.75","0.875","0.875","0.875","0.8125","0.8125","0.8125","0.84375","0.84375","0.84375"
"69","0.8125","0.8125","0.8125","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.875","0.875","0.875","0.875","0.875","0.875","0.875","0.875","0.875","0.90625","0.90625","0.90625","0.90625","0.90625","0.90625"
"70","0.9375","0.9375","0.9375","1","1","1","0.9375","0.9375","0.9375","1","1","1","0.875","0.875","0.875","1","1","1","0.90625","0.90625","0.90625","0.90625","0.90625","0.90625"
"71","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0.875","0.875","0.875","0.84375","0.84375","0.84375","0.90625","0.90625","0.90625"
"72","0.9375","0.9375","0.9375","0.875","0.875","0.875","0.8125","0.8125","0.8125","0.875","0.875","0.875","0.9375","0.9375","0.9375","0.875","0.875","0.875","0.875","0.875","0.875","0.875","0.875","0.875"
"73","0.8125","0.8125","0.8125","0.8125","0.8125","0.8125","0.6875","0.6875","0.6875","0.8125","0.8125","0.8125","0.75","0.75","0.75","0.875","0.875","0.875","0.84375","0.84375","0.84375","0.875","0.875","0.875"
"74","1","1","1","0.9375","0.9375","0.9375","0.875","0.875","0.875","0.875","0.875","0.875","0.9375","0.9375","0.9375","1","1","1","0.96875","0.96875","0.96875","1","1","1"
"75","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.875","0.875","0.875","0.9375","0.9375","0.9375","0.75","0.75","0.75","0.75","0.75","0.75","0.875","0.875","0.875","0.90625","0.90625","0.90625"
"76","0.9375","0.9375","0.9375","0.875","0.875","0.875","0.875","0.875","0.875","0.8125","0.8125","0.8125","1","1","1","0.875","0.875","0.875","0.8125","0.8125","0.8125","0.8125","0.8125","0.8125"
"77","0.875","0.875","0.875","0.8125","0.8125","0.8125","0.8125","0.8125","0.8125","0.875","0.875","0.875","0.8125","0.8125","0.8125","0.875","0.875","0.875","0.875","0.875","0.875","0.8125","0.8125","0.8125"
"78","0.6875","0.6875","0.6875","0.75","0.75","0.75","0.8125","0.8125","0.8125","0.75","0.75","0.75","0.75","0.75","0.75","0.9375","0.9375","0.9375","0.84375","0.84375","0.84375","0.875","0.875","0.875"
"79","0.875","0.875","0.875","0.875","0.875","0.875","0.875","0.875","0.875","0.8125","0.8125","0.8125","0.875","0.875","0.875","0.875","0.875","0.875","0.8125","0.8125","0.8125","0.78125","0.78125","0.78125"
"80","0.9375","0.9375","0.9375","1","1","1","1","1","1","0.9375","0.9375","0.9375","1","1","1","0.8125","0.8125","0.8125","0.78125","0.78125","0.78125","0.8125","0.8125","0.8125"
"81","0.8125","0.8125","0.8125","0.8125","0.8125","0.8125","0.625","0.625","0.625","0.6875","0.6875","0.6875","0.625","0.625","0.625","0.6875","0.6875","0.6875","0.875","0.875","0.875","0.8125","0.8125","0.8125"
"82","0.875","0.875","0.875","0.875","0.875","0.875","0.9375","0.9375","0.9375","0.875","0.875","0.875","0.875","0.875","0.875","0.9375","0.9375","0.9375","0.96875","0.96875","0.96875","0.90625","0.90625","0.90625"
"83","0.9375","0.9375","0.9375","0.875","0.875","0.875","1","1","1","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.875","0.875","0.875","0.875","0.875","0.875","0.84375","0.84375","0.84375"
"84","0.875","0.875","0.875","0.875","0.875","0.875","0.875","0.875","0.875","0.8125","0.8125","0.8125","0.9375","0.9375","0.9375","0.8125","0.8125","0.8125","0.9375","0.9375","0.9375","0.90625","0.90625","0.90625"
"85","1","1","1","0.8125","0.8125","0.8125","0.875","0.875","0.875","0.875","0.875","0.875","0.875","0.875","0.875","0.9375","0.9375","0.9375","0.90625","0.90625","0.90625","0.9375","0.9375","0.9375"
"86","0.8125","0.8125","0.8125","0.875","0.875","0.875","0.875","0.875","0.875","0.8125","0.8125","0.8125","0.75","0.75","0.75","0.8125","0.8125","0.8125","0.8125","0.8125","0.8125","0.875","0.875","0.875"
"87","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.875","0.875","0.875","0.9375","0.9375","0.9375","0.875","0.875","0.875","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375"
"88","1","1","1","1","1","1","1","1","1","0.875","0.875","0.875","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.96875","0.96875","0.96875","0.9375","0.9375","0.9375"
"89","0.9375","0.9375","0.9375","0.875","0.875","0.875","0.875","0.875","0.875","0.875","0.875","0.875","0.8125","0.8125","0.8125","0.8125","0.8125","0.8125","0.84375","0.84375","0.84375","0.84375","0.84375","0.84375"
"90","0.875","0.875","0.875","0.875","0.875","0.875","0.875","0.875","0.875","0.6875","0.6875","0.6875","0.875","0.875","0.875","0.875","0.875","0.875","0.8125","0.8125","0.8125","0.78125","0.78125","0.78125"
"91","0.8125","0.8125","0.8125","0.875","0.875","0.875","0.875","0.875","0.875","0.875","0.875","0.875","0.75","0.75","0.75","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.8125","0.8125","0.8125"
"92","0.8125","0.8125","0.8125","0.875","0.875","0.875","0.8125","0.8125","0.8125","0.8125","0.8125","0.8125","0.8125","0.8125","0.8125","0.8125","0.8125","0.8125","0.90625","0.90625","0.90625","0.875","0.875","0.875"
"93","0.75","0.75","0.75","0.6875","0.6875","0.6875","0.8125","0.8125","0.8125","0.875","0.875","0.875","0.8125","0.8125","0.8125","0.8125","0.8125","0.8125","0.875","0.875","0.875","0.8125","0.8125","0.8125"
"94","0.875","0.875","0.875","0.8125","0.8125","0.8125","0.875","0.875","0.875","0.75","0.75","0.75","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375"
"95","0.8125","0.8125","0.8125","0.8125","0.8125","0.8125","0.75","0.75","0.75","0.8125","0.8125","0.8125","0.8125","0.8125","0.8125","0.8125","0.8125","0.8125","0.90625","0.90625","0.90625","0.875","0.875","0.875"
"96","0.75","0.75","0.75","0.875","0.875","0.875","0.875","0.875","0.875","0.8125","0.8125","0.8125","0.8125","0.8125","0.8125","0.875","0.875","0.875","0.78125","0.78125","0.78125","0.84375","0.84375","0.84375"
