"Step","timelm_attention - train/accuracy","timelm_attention - train/accuracy__MIN","timelm_attention - train/accuracy__MAX","roberta-large_attention - train/accuracy","roberta-large_attention - train/accuracy__MIN","roberta-large_attention - train/accuracy__MAX","roberta-base_attention - train/accuracy","roberta-base_attention - train/accuracy__MIN","roberta-base_attention - train/accuracy__MAX","deberta-large_attention - train/accuracy","deberta-large_attention - train/accuracy__MIN","deberta-large_attention - train/accuracy__MAX","bert_attention - train/accuracy","bert_attention - train/accuracy__MIN","bert_attention - train/accuracy__MAX","albert-xlarge_attention - train/accuracy","albert-xlarge_attention - train/accuracy__MIN","albert-xlarge_attention - train/accuracy__MAX","albert-large_attention - train/accuracy","albert-large_attention - train/accuracy__MIN","albert-large_attention - train/accuracy__MAX","albert-base_attention - train/accuracy","albert-base_attention - train/accuracy__MIN","albert-base_attention - train/accuracy__MAX"
"1865","0.6875","0.6875","0.6875","0.6875","0.6875","0.6875","0.6875","0.6875","0.6875","0.6875","0.6875","0.6875","0.5625","0.5625","0.5625","0.6875","0.6875","0.6875","0.78125","0.78125","0.78125","0.8125","0.8125","0.8125"
"1866","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.875","0.875","0.875","0.875","0.875","0.875","0.875","0.875","0.875","0.90625","0.90625","0.90625","0.90625","0.90625","0.90625"
"1867","1","1","1","0.9375","0.9375","0.9375","1","1","1","1","1","1","1","1","1","0.9375","0.9375","0.9375","0.875","0.875","0.875","0.875","0.875","0.875"
"1868","1","1","1","1","1","1","1","1","1","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","1","1","1","0.96875","0.96875","0.96875","1","1","1"
"1869","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.875","0.875","0.875","0.9375","0.9375","0.9375","0.8125","0.8125","0.8125","1","1","1","0.84375","0.84375","0.84375","0.84375","0.84375","0.84375"
"1870","0.875","0.875","0.875","0.875","0.875","0.875","0.875","0.875","0.875","0.8125","0.8125","0.8125","0.8125","0.8125","0.8125","0.8125","0.8125","0.8125","0.875","0.875","0.875","0.875","0.875","0.875"
"1871","0.9375","0.9375","0.9375","0.875","0.875","0.875","0.875","0.875","0.875","0.875","0.875","0.875","0.8125","0.8125","0.8125","0.9375","0.9375","0.9375","0.8125","0.8125","0.8125","0.875","0.875","0.875"
"1872","0.9375","0.9375","0.9375","0.875","0.875","0.875","0.9375","0.9375","0.9375","0.875","0.875","0.875","0.9375","0.9375","0.9375","0.875","0.875","0.875","0.875","0.875","0.875","0.875","0.875","0.875"
"1873","0.625","0.625","0.625","0.75","0.75","0.75","0.625","0.625","0.625","0.6875","0.6875","0.6875","0.6875","0.6875","0.6875","0.8125","0.8125","0.8125","0.84375","0.84375","0.84375","0.84375","0.84375","0.84375"
"1874","0.875","0.875","0.875","1","1","1","1","1","1","0.9375","0.9375","0.9375","1","1","1","0.9375","0.9375","0.9375","0.875","0.875","0.875","0.90625","0.90625","0.90625"
"1875","0.875","0.875","0.875","0.75","0.75","0.75","0.75","0.75","0.75","0.8125","0.8125","0.8125","0.75","0.75","0.75","0.875","0.875","0.875","0.8125","0.8125","0.8125","0.8125","0.8125","0.8125"
"1876","0.9375","0.9375","0.9375","0.875","0.875","0.875","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.875","0.875","0.875","0.875","0.875","0.875","0.96875","0.96875","0.96875","0.9375","0.9375","0.9375"
"1877","0.9375","0.9375","0.9375","0.8125","0.8125","0.8125","0.9375","0.9375","0.9375","0.875","0.875","0.875","1","1","1","1","1","1","0.96875","0.96875","0.96875","0.96875","0.96875","0.96875"
"1878","0.9375","0.9375","0.9375","1","1","1","1","1","1","0.9375","0.9375","0.9375","1","1","1","1","1","1","0.84375","0.84375","0.84375","0.90625","0.90625","0.90625"
"1879","0.875","0.875","0.875","1","1","1","0.875","0.875","0.875","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.875","0.875","0.875","0.84375","0.84375","0.84375","0.78125","0.78125","0.78125"
"1880","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.875","0.875","0.875","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375"
"1881","0.9375","0.9375","0.9375","1","1","1","0.875","0.875","0.875","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.8125","0.8125","0.8125","0.84375","0.84375","0.84375","0.84375","0.84375","0.84375"
"1882","0.75","0.75","0.75","0.8125","0.8125","0.8125","0.8125","0.8125","0.8125","0.75","0.75","0.75","0.8125","0.8125","0.8125","0.8125","0.8125","0.8125","0.90625","0.90625","0.90625","0.875","0.875","0.875"
"1883","0.875","0.875","0.875","0.9375","0.9375","0.9375","0.875","0.875","0.875","0.9375","0.9375","0.9375","1","1","1","0.9375","0.9375","0.9375","0.8125","0.8125","0.8125","0.8125","0.8125","0.8125"
"1884","1","1","1","1","1","1","1","1","1","1","1","1","0.9375","0.9375","0.9375","1","1","1","0.90625","0.90625","0.90625","0.875","0.875","0.875"
"1885","1","1","1","0.875","0.875","0.875","0.9375","0.9375","0.9375","0.875","0.875","0.875","1","1","1","0.9375","0.9375","0.9375","0.90625","0.90625","0.90625","0.875","0.875","0.875"
"1886","0.8125","0.8125","0.8125","1","1","1","0.75","0.75","0.75","0.9375","0.9375","0.9375","0.875","0.875","0.875","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.90625","0.90625","0.90625"
"1887","1","1","1","0.9375","0.9375","0.9375","0.8125","0.8125","0.8125","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.96875","0.96875","0.96875","0.9375","0.9375","0.9375"
"1888","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","1","1","1","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.90625","0.90625","0.90625"
"1889","0.875","0.875","0.875","0.9375","0.9375","0.9375","1","1","1","0.9375","0.9375","0.9375","0.75","0.75","0.75","1","1","1","0.90625","0.90625","0.90625","0.90625","0.90625","0.90625"
"1890","1","1","1","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","1","1","1","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.875","0.875","0.875"
"1891","0.8125","0.8125","0.8125","0.9375","0.9375","0.9375","0.875","0.875","0.875","0.875","0.875","0.875","0.875","0.875","0.875","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375"
"1892","1","1","1","0.9375","0.9375","0.9375","1","1","1","1","1","1","0.8125","0.8125","0.8125","1","1","1","0.90625","0.90625","0.90625","0.9375","0.9375","0.9375"
"1893","0.875","0.875","0.875","0.9375","0.9375","0.9375","0.875","0.875","0.875","0.8125","0.8125","0.8125","0.875","0.875","0.875","0.75","0.75","0.75","0.90625","0.90625","0.90625","0.8125","0.8125","0.8125"
"1894","1","1","1","0.9375","0.9375","0.9375","1","1","1","1","1","1","1","1","1","1","1","1","0.9375","0.9375","0.9375","0.90625","0.90625","0.90625"
"1895","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.90625","0.90625","0.90625","0.9375","0.9375","0.9375"
"1896","0.875","0.875","0.875","1","1","1","0.8125","0.8125","0.8125","1","1","1","0.8125","0.8125","0.8125","0.9375","0.9375","0.9375","0.90625","0.90625","0.90625","1","1","1"
"1897","0.9375","0.9375","0.9375","0.8125","0.8125","0.8125","0.75","0.75","0.75","0.875","0.875","0.875","0.8125","0.8125","0.8125","0.9375","0.9375","0.9375","0.78125","0.78125","0.78125","0.8125","0.8125","0.8125"
"1898","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","1","1","1","0.9375","0.9375","0.9375","0.84375","0.84375","0.84375","0.875","0.875","0.875"
"1899","0.875","0.875","0.875","0.9375","0.9375","0.9375","0.8125","0.8125","0.8125","0.875","0.875","0.875","0.875","0.875","0.875","0.875","0.875","0.875","0.9375","0.9375","0.9375","0.96875","0.96875","0.96875"
"1900","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.8125","0.8125","0.8125","0.875","0.875","0.875","0.8125","0.8125","0.8125","0.9375","0.9375","0.9375","0.84375","0.84375","0.84375","0.78125","0.78125","0.78125"
"1901","0.875","0.875","0.875","0.875","0.875","0.875","0.875","0.875","0.875","0.875","0.875","0.875","0.875","0.875","0.875","0.875","0.875","0.875","0.875","0.875","0.875","0.90625","0.90625","0.90625"
"1902","0.8125","0.8125","0.8125","0.8125","0.8125","0.8125","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.875","0.875","0.875","0.8125","0.8125","0.8125","0.8125","0.8125","0.8125","0.8125","0.8125","0.8125"
"1903","0.875","0.875","0.875","0.875","0.875","0.875","0.875","0.875","0.875","0.9375","0.9375","0.9375","0.875","0.875","0.875","0.875","0.875","0.875","0.875","0.875","0.875","0.9375","0.9375","0.9375"
"1904","1","1","1","1","1","1","0.9375","0.9375","0.9375","1","1","1","1","1","1","1","1","1","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375"
"1905","0.875","0.875","0.875","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.8125","0.8125","0.8125","0.875","0.875","0.875","0.9375","0.9375","0.9375","0.84375","0.84375","0.84375","0.84375","0.84375","0.84375"
"1906","0.8125","0.8125","0.8125","0.875","0.875","0.875","0.8125","0.8125","0.8125","0.75","0.75","0.75","0.75","0.75","0.75","0.875","0.875","0.875","0.84375","0.84375","0.84375","0.875","0.875","0.875"
"1907","1","1","1","1","1","1","0.9375","0.9375","0.9375","1","1","1","0.875","0.875","0.875","0.9375","0.9375","0.9375","0.96875","0.96875","0.96875","0.90625","0.90625","0.90625"
"1908","1","1","1","0.9375","0.9375","0.9375","1","1","1","1","1","1","1","1","1","1","1","1","0.90625","0.90625","0.90625","0.90625","0.90625","0.90625"
"1909","0.8125","0.8125","0.8125","0.8125","0.8125","0.8125","0.8125","0.8125","0.8125","0.8125","0.8125","0.8125","0.8125","0.8125","0.8125","0.8125","0.8125","0.8125","0.8125","0.8125","0.8125","0.8125","0.8125","0.8125"
"1910","0.875","0.875","0.875","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","1","1","1","0.9375","0.9375","0.9375","0.84375","0.84375","0.84375","0.8125","0.8125","0.8125"
"1911","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","1","1","1","0.875","0.875","0.875","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375"
"1912","0.875","0.875","0.875","0.875","0.875","0.875","0.8125","0.8125","0.8125","0.9375","0.9375","0.9375","0.875","0.875","0.875","0.875","0.875","0.875","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375"
"1913","0.875","0.875","0.875","0.9375","0.9375","0.9375","0.875","0.875","0.875","0.9375","0.9375","0.9375","0.8125","0.8125","0.8125","0.9375","0.9375","0.9375","1","1","1","0.96875","0.96875","0.96875"
"1914","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375"
"1915","0.875","0.875","0.875","0.9375","0.9375","0.9375","0.8125","0.8125","0.8125","0.9375","0.9375","0.9375","0.875","0.875","0.875","0.9375","0.9375","0.9375","0.90625","0.90625","0.90625","0.875","0.875","0.875"
"1916","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","1","1","1","0.9375","0.9375","0.9375","0.875","0.875","0.875","0.90625","0.90625","0.90625"
"1917","0.9375","0.9375","0.9375","0.875","0.875","0.875","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.90625","0.90625","0.90625","0.875","0.875","0.875"
"1918","0.8125","0.8125","0.8125","0.875","0.875","0.875","0.8125","0.8125","0.8125","1","1","1","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.875","0.875","0.875","0.875","0.875","0.875"
"1919","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.875","0.875","0.875","0.84375","0.84375","0.84375","0.90625","0.90625","0.90625"
"1920","1","1","1","0.9375","0.9375","0.9375","0.875","0.875","0.875","0.9375","0.9375","0.9375","1","1","1","1","1","1","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375"
"1921","1","1","1","1","1","1","1","1","1","1","1","1","0.9375","0.9375","0.9375","1","1","1","0.90625","0.90625","0.90625","0.90625","0.90625","0.90625"
"1922","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.875","0.875","0.875","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.90625","0.90625","0.90625","0.9375","0.9375","0.9375"
"1923","0.75","0.75","0.75","0.875","0.875","0.875","0.9375","0.9375","0.9375","0.875","0.875","0.875","0.875","0.875","0.875","0.875","0.875","0.875","0.875","0.875","0.875","0.875","0.875","0.875"
"1924","0.875","0.875","0.875","0.9375","0.9375","0.9375","0.8125","0.8125","0.8125","0.875","0.875","0.875","1","1","1","0.9375","0.9375","0.9375","0.8125","0.8125","0.8125","0.90625","0.90625","0.90625"
"1925","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.875","0.875","0.875","0.9375","0.9375","0.9375","0.90625","0.90625","0.90625","0.875","0.875","0.875"
"1926","0.875","0.875","0.875","0.875","0.875","0.875","0.875","0.875","0.875","0.8125","0.8125","0.8125","0.875","0.875","0.875","0.875","0.875","0.875","0.84375","0.84375","0.84375","0.84375","0.84375","0.84375"
"1927","0.875","0.875","0.875","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.90625","0.90625","0.90625","0.9375","0.9375","0.9375"
"1928","0.8125","0.8125","0.8125","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.875","0.875","0.875","0.9375","0.9375","0.9375","0.84375","0.84375","0.84375","0.875","0.875","0.875"
"1929","0.8125","0.8125","0.8125","0.8125","0.8125","0.8125","0.9375","0.9375","0.9375","0.875","0.875","0.875","0.875","0.875","0.875","0.75","0.75","0.75","0.84375","0.84375","0.84375","0.84375","0.84375","0.84375"
"1930","0.875","0.875","0.875","0.875","0.875","0.875","0.8125","0.8125","0.8125","0.875","0.875","0.875","0.8125","0.8125","0.8125","0.8125","0.8125","0.8125","0.84375","0.84375","0.84375","0.875","0.875","0.875"
"1931","0.875","0.875","0.875","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.875","0.875","0.875","0.90625","0.90625","0.90625","0.90625","0.90625","0.90625"
"1932","0.9375","0.9375","0.9375","1","1","1","1","1","1","1","1","1","0.9375","0.9375","0.9375","1","1","1","0.96875","0.96875","0.96875","0.9375","0.9375","0.9375"
"1933","0.9375","0.9375","0.9375","1","1","1","0.875","0.875","0.875","0.875","0.875","0.875","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.96875","0.96875","0.96875","0.96875","0.96875","0.96875"
"1934","0.875","0.875","0.875","0.875","0.875","0.875","0.9375","0.9375","0.9375","0.875","0.875","0.875","0.8125","0.8125","0.8125","0.75","0.75","0.75","0.84375","0.84375","0.84375","0.8125","0.8125","0.8125"
"1935","0.9375","0.9375","0.9375","0.875","0.875","0.875","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.96875","0.96875","0.96875","0.9375","0.9375","0.9375"
"1936","0.875","0.875","0.875","0.875","0.875","0.875","0.875","0.875","0.875","0.875","0.875","0.875","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.875","0.875","0.875","0.875","0.875","0.875"
"1937","1","1","1","0.9375","0.9375","0.9375","0.875","0.875","0.875","0.9375","0.9375","0.9375","0.875","0.875","0.875","1","1","1","0.9375","0.9375","0.9375","0.90625","0.90625","0.90625"
"1938","0.625","0.625","0.625","0.75","0.75","0.75","0.875","0.875","0.875","0.8125","0.8125","0.8125","0.8125","0.8125","0.8125","0.875","0.875","0.875","0.9375","0.9375","0.9375","0.71875","0.71875","0.71875"
"1939","1","1","1","1","1","1","1","1","1","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.875","0.875","0.875","0.875","0.875","0.875"
"1940","0.875","0.875","0.875","0.9375","0.9375","0.9375","0.8125","0.8125","0.8125","0.9375","0.9375","0.9375","1","1","1","0.875","0.875","0.875","0.9375","0.9375","0.9375","0.84375","0.84375","0.84375"
"1941","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.875","0.875","0.875","0.875","0.875","0.875","0.9375","0.9375","0.9375","0.8125","0.8125","0.8125","0.84375","0.84375","0.84375","0.875","0.875","0.875"
"1942","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0.96875","0.96875","0.96875","0.96875","0.96875","0.96875"
"1944","0.875","0.875","0.875","0.875","0.875","0.875","0.875","0.875","0.875","0.875","0.875","0.875","0.875","0.875","0.875","0.9375","0.9375","0.9375","0.90625","0.90625","0.90625","0.90625","0.90625","0.90625"
"1945","0.875","0.875","0.875","0.875","0.875","0.875","0.875","0.875","0.875","0.875","0.875","0.875","0.875","0.875","0.875","0.8125","0.8125","0.8125","0.875","0.875","0.875","0.875","0.875","0.875"
"1946","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.875","0.875","0.875","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","1","1","1","0.90625","0.90625","0.90625"
"1947","0.875","0.875","0.875","1","1","1","0.9375","0.9375","0.9375","0.875","0.875","0.875","0.875","0.875","0.875","0.875","0.875","0.875","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375"
"1948","1","1","1","0.9375","0.9375","0.9375","1","1","1","1","1","1","1","1","1","1","1","1","0.90625","0.90625","0.90625","0.9375","0.9375","0.9375"
"1949","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","1","1","1","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.96875","0.96875","0.96875","0.96875","0.96875","0.96875"
"1950","0.6875","0.6875","0.6875","0.75","0.75","0.75","0.6875","0.6875","0.6875","0.75","0.75","0.75","0.75","0.75","0.75","0.75","0.75","0.75","0.75","0.75","0.75","0.78125","0.78125","0.78125"
"1951","0.8125","0.8125","0.8125","1","1","1","0.875","0.875","0.875","0.9375","0.9375","0.9375","0.875","0.875","0.875","0.875","0.875","0.875","0.90625","0.90625","0.90625","0.90625","0.90625","0.90625"
"1952","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.875","0.875","0.875","0.875","0.875","0.875","0.875","0.875","0.875","0.9375","0.9375","0.9375","0.96875","0.96875","0.96875","0.90625","0.90625","0.90625"
"1953","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.96875","0.96875","0.96875","0.9375","0.9375","0.9375"
"1954","1","1","1","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.875","0.875","0.875","0.875","0.875","0.875"
"1955","0.8125","0.8125","0.8125","0.8125","0.8125","0.8125","0.8125","0.8125","0.8125","0.75","0.75","0.75","0.6875","0.6875","0.6875","0.875","0.875","0.875","0.875","0.875","0.875","0.78125","0.78125","0.78125"
"1956","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.875","0.875","0.875","0.875","0.875","0.875","0.875","0.875","0.875","0.9375","0.9375","0.9375","0.96875","0.96875","0.96875","0.9375","0.9375","0.9375"
"1957","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.875","0.875","0.875","0.9375","0.9375","0.9375","0.875","0.875","0.875","0.9375","0.9375","0.9375","0.90625","0.90625","0.90625","0.875","0.875","0.875"
"1958","0.9375","0.9375","0.9375","0.875","0.875","0.875","0.8125","0.8125","0.8125","0.875","0.875","0.875","0.75","0.75","0.75","0.875","0.875","0.875","0.875","0.875","0.875","0.9375","0.9375","0.9375"
"1959","0.875","0.875","0.875","0.9375","0.9375","0.9375","0.875","0.875","0.875","0.875","0.875","0.875","0.875","0.875","0.875","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375"
"1960","0.9375","0.9375","0.9375","0.875","0.875","0.875","0.9375","0.9375","0.9375","1","1","1","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.90625","0.90625","0.90625","0.875","0.875","0.875"
"1961","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.875","0.875","0.875","0.875","0.875","0.875","1","1","1","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375"
"1962","0.8125","0.8125","0.8125","0.8125","0.8125","0.8125","0.8125","0.8125","0.8125","0.875","0.875","0.875","0.8125","0.8125","0.8125","0.8125","0.8125","0.8125","0.90625","0.90625","0.90625","0.90625","0.90625","0.90625"
"1963","0.8125","0.8125","0.8125","0.9375","0.9375","0.9375","0.8125","0.8125","0.8125","0.9375","0.9375","0.9375","0.875","0.875","0.875","0.875","0.875","0.875","0.875","0.875","0.875","0.90625","0.90625","0.90625"
"1964","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.875","0.875","0.875","0.875","0.875","0.875","0.9375","0.9375","0.9375","0.875","0.875","0.875","0.90625","0.90625","0.90625","0.84375","0.84375","0.84375"
"1965","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.875","0.875","0.875","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.96875","0.96875","0.96875","0.90625","0.90625","0.90625"
"1966","0.9375","0.9375","0.9375","0.875","0.875","0.875","0.9375","0.9375","0.9375","0.8125","0.8125","0.8125","0.875","0.875","0.875","0.9375","0.9375","0.9375","0.90625","0.90625","0.90625","0.9375","0.9375","0.9375"
"1967","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0.9375","0.9375","0.9375","0.96875","0.96875","0.96875","0.96875","0.96875","0.96875"
"1968","0.875","0.875","0.875","0.9375","0.9375","0.9375","0.875","0.875","0.875","0.9375","0.9375","0.9375","0.875","0.875","0.875","0.9375","0.9375","0.9375","0.96875","0.96875","0.96875","0.875","0.875","0.875"
"1969","0.8125","0.8125","0.8125","0.875","0.875","0.875","0.8125","0.8125","0.8125","0.875","0.875","0.875","0.8125","0.8125","0.8125","0.75","0.75","0.75","0.8125","0.8125","0.8125","0.78125","0.78125","0.78125"
"1970","0.9375","0.9375","0.9375","0.875","0.875","0.875","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.90625","0.90625","0.90625","0.84375","0.84375","0.84375"
"1971","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","1","1","1","0.9375","0.9375","0.9375","0.90625","0.90625","0.90625","0.9375","0.9375","0.9375"
"1972","0.9375","0.9375","0.9375","1","1","1","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.875","0.875","0.875","0.875","0.875","0.875"
"1973","1","1","1","1","1","1","1","1","1","1","1","1","0.875","0.875","0.875","1","1","1","0.96875","0.96875","0.96875","0.96875","0.96875","0.96875"
"1974","0.9375","0.9375","0.9375","0.875","0.875","0.875","0.875","0.875","0.875","1","1","1","0.8125","0.8125","0.8125","0.8125","0.8125","0.8125","0.75","0.75","0.75","0.75","0.75","0.75"
"1975","0.75","0.75","0.75","0.8125","0.8125","0.8125","0.8125","0.8125","0.8125","0.875","0.875","0.875","0.75","0.75","0.75","0.875","0.875","0.875","0.84375","0.84375","0.84375","0.84375","0.84375","0.84375"
"1976","1","1","1","1","1","1","0.875","0.875","0.875","0.9375","0.9375","0.9375","0.8125","0.8125","0.8125","0.9375","0.9375","0.9375","0.875","0.875","0.875","0.9375","0.9375","0.9375"
"1977","0.9375","0.9375","0.9375","0.875","0.875","0.875","0.9375","0.9375","0.9375","0.8125","0.8125","0.8125","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.875","0.875","0.875","0.84375","0.84375","0.84375"
"1978","0.875","0.875","0.875","0.8125","0.8125","0.8125","0.8125","0.8125","0.8125","0.875","0.875","0.875","0.6875","0.6875","0.6875","0.8125","0.8125","0.8125","0.875","0.875","0.875","0.90625","0.90625","0.90625"
"1979","0.9375","0.9375","0.9375","1","1","1","1","1","1","1","1","1","0.8125","0.8125","0.8125","1","1","1","1","1","1","1","1","1"
"1980","1","1","1","1","1","1","0.9375","0.9375","0.9375","1","1","1","1","1","1","1","1","1","0.96875","0.96875","0.96875","0.96875","0.96875","0.96875"
"1981","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375"
"1982","0.9375","0.9375","0.9375","0.8125","0.8125","0.8125","0.875","0.875","0.875","1","1","1","0.9375","0.9375","0.9375","0.875","0.875","0.875","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375"
"1983","0.875","0.875","0.875","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","1","1","1","1","1","1","0.84375","0.84375","0.84375","0.84375","0.84375","0.84375"
"1984","0.875","0.875","0.875","0.875","0.875","0.875","0.875","0.875","0.875","0.8125","0.8125","0.8125","0.8125","0.8125","0.8125","0.8125","0.8125","0.8125","0.78125","0.78125","0.78125","0.78125","0.78125","0.78125"
"1985","0.875","0.875","0.875","0.875","0.875","0.875","0.8125","0.8125","0.8125","0.875","0.875","0.875","0.8125","0.8125","0.8125","0.8125","0.8125","0.8125","0.875","0.875","0.875","0.90625","0.90625","0.90625"
"1986","0.9375","0.9375","0.9375","1","1","1","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.75","0.75","0.75","0.9375","0.9375","0.9375","0.84375","0.84375","0.84375","0.8125","0.8125","0.8125"
"1987","0.875","0.875","0.875","0.875","0.875","0.875","0.875","0.875","0.875","0.875","0.875","0.875","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.875","0.875","0.875","0.90625","0.90625","0.90625"
"1988","0.8125","0.8125","0.8125","0.875","0.875","0.875","0.8125","0.8125","0.8125","0.8125","0.8125","0.8125","0.8125","0.8125","0.8125","0.8125","0.8125","0.8125","0.90625","0.90625","0.90625","0.9375","0.9375","0.9375"
"1989","0.9375","0.9375","0.9375","1","1","1","0.9375","0.9375","0.9375","1","1","1","0.875","0.875","0.875","1","1","1","0.9375","0.9375","0.9375","1","1","1"
"1990","0.8125","0.8125","0.8125","0.875","0.875","0.875","0.875","0.875","0.875","0.875","0.875","0.875","0.875","0.875","0.875","0.875","0.875","0.875","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375"
