"Step","bert_attention_stopword_removed - train/accuracy","bert_attention_stopword_removed - train/accuracy__MIN","bert_attention_stopword_removed - train/accuracy__MAX","bert_attention_hashtag - train/accuracy","bert_attention_hashtag - train/accuracy__MIN","bert_attention_hashtag - train/accuracy__MAX","bert_attention_cleaned_spelling_corrected - train/accuracy","bert_attention_cleaned_spelling_corrected - train/accuracy__MIN","bert_attention_cleaned_spelling_corrected - train/accuracy__MAX","bert_attention_cleaned_lemmatized - train/accuracy","bert_attention_cleaned_lemmatized - train/accuracy__MIN","bert_attention_cleaned_lemmatized - train/accuracy__MAX","bert_attention_cleaned - train/accuracy","bert_attention_cleaned - train/accuracy__MIN","bert_attention_cleaned - train/accuracy__MAX","bert_attention - train/accuracy","bert_attention - train/accuracy__MIN","bert_attention - train/accuracy__MAX"
"47","0.875","0.875","0.875","0.75","0.75","0.75","0.90625","0.90625","0.90625","0.75","0.75","0.75","0.84375","0.84375","0.84375","0.75","0.75","0.75"
"48","0.75","0.75","0.75","0.90625","0.90625","0.90625","0.75","0.75","0.75","0.8125","0.8125","0.8125","0.8125","0.8125","0.8125","0.8125","0.8125","0.8125"
"49","0.6875","0.6875","0.6875","0.90625","0.90625","0.90625","0.84375","0.84375","0.84375","0.84375","0.84375","0.84375","0.78125","0.78125","0.78125","0.9375","0.9375","0.9375"
"50","0.875","0.875","0.875","0.9375","0.9375","0.9375","0.75","0.75","0.75","0.8125","0.8125","0.8125","0.71875","0.71875","0.71875","0.8125","0.8125","0.8125"
"51","0.6875","0.6875","0.6875","0.8125","0.8125","0.8125","0.75","0.75","0.75","0.78125","0.78125","0.78125","0.78125","0.78125","0.78125","0.875","0.875","0.875"
"52","0.625","0.625","0.625","0.78125","0.78125","0.78125","0.75","0.75","0.75","0.90625","0.90625","0.90625","0.875","0.875","0.875","0.5625","0.5625","0.5625"
"53","0.75","0.75","0.75","0.84375","0.84375","0.84375","0.84375","0.84375","0.84375","0.875","0.875","0.875","0.875","0.875","0.875","0.875","0.875","0.875"
"54","0.75","0.75","0.75","0.8125","0.8125","0.8125","0.875","0.875","0.875","0.90625","0.90625","0.90625","0.8125","0.8125","0.8125","0.75","0.75","0.75"
"55","0.6875","0.6875","0.6875","0.84375","0.84375","0.84375","0.8125","0.8125","0.8125","0.84375","0.84375","0.84375","0.875","0.875","0.875","0.875","0.875","0.875"
"56","0.8125","0.8125","0.8125","0.78125","0.78125","0.78125","0.84375","0.84375","0.84375","0.78125","0.78125","0.78125","0.875","0.875","0.875","0.9375","0.9375","0.9375"
"57","1","1","1","0.8125","0.8125","0.8125","0.6875","0.6875","0.6875","0.8125","0.8125","0.8125","0.71875","0.71875","0.71875","0.8125","0.8125","0.8125"
"58","0.75","0.75","0.75","0.78125","0.78125","0.78125","0.8125","0.8125","0.8125","0.8125","0.8125","0.8125","0.90625","0.90625","0.90625","0.9375","0.9375","0.9375"
"59","0.625","0.625","0.625","0.84375","0.84375","0.84375","0.84375","0.84375","0.84375","0.8125","0.8125","0.8125","0.8125","0.8125","0.8125","0.9375","0.9375","0.9375"
"60","0.9375","0.9375","0.9375","0.78125","0.78125","0.78125","0.78125","0.78125","0.78125","0.78125","0.78125","0.78125","0.90625","0.90625","0.90625","0.8125","0.8125","0.8125"
"61","0.8125","0.8125","0.8125","0.8125","0.8125","0.8125","0.78125","0.78125","0.78125","0.8125","0.8125","0.8125","0.6875","0.6875","0.6875","0.9375","0.9375","0.9375"
"62","0.6875","0.6875","0.6875","0.78125","0.78125","0.78125","0.78125","0.78125","0.78125","0.8125","0.8125","0.8125","0.90625","0.90625","0.90625","0.6875","0.6875","0.6875"
"63","0.9375","0.9375","0.9375","0.90625","0.90625","0.90625","0.84375","0.84375","0.84375","0.8125","0.8125","0.8125","0.84375","0.84375","0.84375","0.875","0.875","0.875"
"64","0.75","0.75","0.75","0.90625","0.90625","0.90625","0.78125","0.78125","0.78125","0.78125","0.78125","0.78125","0.875","0.875","0.875","0.5625","0.5625","0.5625"
"65","0.875","0.875","0.875","0.8125","0.8125","0.8125","0.78125","0.78125","0.78125","0.84375","0.84375","0.84375","0.75","0.75","0.75","0.9375","0.9375","0.9375"
"66","0.875","0.875","0.875","0.90625","0.90625","0.90625","0.71875","0.71875","0.71875","0.78125","0.78125","0.78125","0.84375","0.84375","0.84375","0.75","0.75","0.75"
"67","0.875","0.875","0.875","0.78125","0.78125","0.78125","0.71875","0.71875","0.71875","0.8125","0.8125","0.8125","0.78125","0.78125","0.78125","1","1","1"
"68","0.875","0.875","0.875","0.8125","0.8125","0.8125","0.71875","0.71875","0.71875","0.90625","0.90625","0.90625","0.78125","0.78125","0.78125","0.75","0.75","0.75"
"69","0.6875","0.6875","0.6875","0.8125","0.8125","0.8125","0.84375","0.84375","0.84375","0.8125","0.8125","0.8125","0.84375","0.84375","0.84375","0.875","0.875","0.875"
"70","0.9375","0.9375","0.9375","0.84375","0.84375","0.84375","0.84375","0.84375","0.84375","0.8125","0.8125","0.8125","0.8125","0.8125","0.8125","0.875","0.875","0.875"
"71","0.8125","0.8125","0.8125","0.78125","0.78125","0.78125","0.6875","0.6875","0.6875","0.8125","0.8125","0.8125","0.75","0.75","0.75","1","1","1"
